Gene Symbol,DESeq2 (BH adjusted p-value ),edgeR (BH adjusted p-value ),ALDEx2 (effect size),Direction of expression,Uniprot IDGLRX,1.50E-04,,1.441,Up,P35754
C3,8.20E-04,5.20E-03,,Down,P01024
PGD,1.15E-03,,-1.249,Down,P52209
GLB1,1.00E-04,3.60E-03,,Down,P16278
GFOD2,3.40E-05,,1.745,Up,Q3B7J2
GAPDH,2.00E-06,5.30E-03,,Up,P04406
HEXB,9.70E-09,8.30E-03,1.582,Up,P07686
TPI1,5.80E-05,9.50E-03,,Up,P60174
HMHA1,3.00E-13,9.90E-04,1.933,Up,Q92619
IDH1,5.00E-10,3.10E-06,-1.512,Down,O75874
CTSC,6.30E-05,6.40E-03,-1.851,Down,P53634
SLC27A2,1.90E-06,1.10E-03,-1.368,Down,O14975
KRT19,8.10E-09,,1.547,Up,P08727
